player,team,season,outs,bases,pa,rbi
"Abbott, Andrew",STL,2024,0,123,2,0
"Abbott, Andrew",STL,2024,0,12_,8,3
"Abbott, Andrew",STL,2024,0,1__,24,2
"Abbott, Andrew",STL,2024,0,_2_,5,1
"Abbott, Andrew",STL,2024,0,___,152,5
"Abbott, Andrew",STL,2024,1,123,6,5
"Abbott, Andrew",STL,2024,1,12_,13,1
"Abbott, Andrew",STL,2024,1,1__,38,2
"Abbott, Andrew",STL,2024,1,_23,2,2
"Abbott, Andrew",STL,2024,1,_2_,12,0
"Abbott, Andrew",STL,2024,1,__3,2,2
"Abbott, Andrew",STL,2024,1,___,125,7
"Abbott, Andrew",STL,2024,2,123,3,0
"Abbott, Andrew",STL,2024,2,12_,17,1
"Abbott, Andrew",STL,2024,2,1_3,3,1
"Abbott, Andrew",STL,2024,2,1__,49,9
"Abbott, Andrew",STL,2024,2,_23,3,2
"Abbott, Andrew",STL,2024,2,_2_,23,6
"Abbott, Andrew",STL,2024,2,__3,6,1
"Abbott, Andrew",STL,2024,2,___,93,5
"Abreu, Bryan",LAA,2024,0,123,1,4
"Abreu, Bryan",LAA,2024,0,12_,4,0
"Abreu, Bryan",LAA,2024,0,1_3,2,1
"Abreu, Bryan",LAA,2024,0,1__,18,2
"Abreu, Bryan",LAA,2024,0,_23,1,1
"Abreu, Bryan",LAA,2024,0,_2_,5,0
"Abreu, Bryan",LAA,2024,0,___,74,2
"Abreu, Bryan",LAA,2024,1,123,4,2
"Abreu, Bryan",LAA,2024,1,12_,6,1
"Abreu, Bryan",LAA,2024,1,1_3,4,1
"Abreu, Bryan",LAA,2024,1,1__,19,1
"Abreu, Bryan",LAA,2024,1,_23,1,0
"Abreu, Bryan",LAA,2024,1,_2_,9,4
"Abreu, Bryan",LAA,2024,1,__3,2,1
"Abreu, Bryan",LAA,2024,1,___,52,0
"Abreu, Bryan",LAA,2024,2,123,7,3
"Abreu, Bryan",LAA,2024,2,12_,12,2
"Abreu, Bryan",LAA,2024,2,1_3,8,4
"Abreu, Bryan",LAA,2024,2,1__,25,2
"Abreu, Bryan",LAA,2024,2,_23,7,2
"Abreu, Bryan",LAA,2024,2,_2_,16,1
"Abreu, Bryan",LAA,2024,2,__3,5,1
"Abreu, Bryan",LAA,2024,2,___,48,2
"Adam, Jason",TOR,2024,0,123,4,2
"Adam, Jason",TOR,2024,0,12_,4,1
"Adam, Jason",TOR,2024,0,1__,8,0
"Adam, Jason",TOR,2024,0,_23,1,1
"Adam, Jason",TOR,2024,0,_2_,8,0
"Adam, Jason",TOR,2024,0,___,72,0
"Adam, Jason",TOR,2024,1,123,5,6
"Adam, Jason",TOR,2024,1,12_,5,4
"Adam, Jason",TOR,2024,1,1_3,1,0
"Adam, Jason",TOR,2024,1,1__,9,0
"Adam, Jason",TOR,2024,1,_23,3,0
"Adam, Jason",TOR,2024,1,_2_,8,3
"Adam, Jason",TOR,2024,1,__3,5,1
"Adam, Jason",TOR,2024,1,___,60,2
"Adam, Jason",TOR,2024,2,123,1,0
"Adam, Jason",TOR,2024,2,12_,5,3
"Adam, Jason",TOR,2024,2,1_3,6,2
"Adam, Jason",TOR,2024,2,1__,16,0
"Adam, Jason",TOR,2024,2,_23,6,1
"Adam, Jason",TOR,2024,2,_2_,13,2
"Adam, Jason",TOR,2024,2,__3,6,0
"Adam, Jason",TOR,2024,2,___,52,0
"Adams, Austin",LAA,2024,0,123,1,1
"Adams, Austin",LAA,2024,0,12_,4,0
"Adams, Austin",LAA,2024,0,1_3,1,0
"Adams, Austin",LAA,2024,0,1__,6,2
"Adams, Austin",LAA,2024,0,_23,1,1
"Adams, Austin",LAA,2024,0,_2_,6,1
"Adams, Austin",LAA,2024,0,___,33,1
"Adams, Austin",LAA,2024,1,123,2,5
"Adams, Austin",LAA,2024,1,12_,10,3
"Adams, Austin",LAA,2024,1,1_3,1,1
"Adams, Austin",LAA,2024,1,1__,10,0
"Adams, Austin",LAA,2024,1,_23,3,1
"Adams, Austin",LAA,2024,1,_2_,9,0
"Adams, Austin",LAA,2024,1,__3,1,1
"Adams, Austin",LAA,2024,1,___,27,1
"Adams, Austin",LAA,2024,2,123,7,4
"Adams, Austin",LAA,2024,2,12_,11,3
"Adams, Austin",LAA,2024,2,1_3,4,0
"Adams, Austin",LAA,2024,2,1__,18,0
"Adams, Austin",LAA,2024,2,_23,5,0
"Adams, Austin",LAA,2024,2,_2_,14,3
"Adams, Austin",LAA,2024,2,__3,4,0
"Adams, Austin",LAA,2024,2,___,19,0
"Aguiar, Julian",MIN,2024,0,12_,3,1
"Aguiar, Julian",MIN,2024,0,1__,10,2
"Aguiar, Julian",MIN,2024,0,_23,1,0
"Aguiar, Julian",MIN,2024,0,_2_,1,0
"Aguiar, Julian",MIN,2024,0,___,37,2
"Aguiar, Julian",MIN,2024,1,123,1,2
